"","report_date","civic_buildings.ext_destroyed","educational_buildings.ext_destroyed","educational_buildings.ext_damaged","places_of_worship.ext_mosques_destroyed","places_of_worship.ext_mosques_damaged","places_of_worship.ext_churches_destroyed"
"141",2024-02-24,157,100,304,209,279,3
"142",2024-02-25,158,100,304,209,279,3
"143",2024-02-26,158,100,305,210,280,3
"144",2024-02-27,159,100,305,210,280,3
"145",2024-02-28,159,100,305,211,281,3
"146",2024-02-29,160,100,305,211,281,3
"147",2024-03-01,161,100,305,213,282,3
"148",2024-03-02,161,100,305,214,283,3
"149",2024-03-03,162,100,305,216,283,3
"150",2024-03-04,163,100,305,217,284,3
"151",2024-03-05,164,100,305,217,285,3
"152",2024-03-06,164,100,305,218,285,3
"153",2024-03-07,165,100,305,218,286,3
"154",2024-03-08,165,100,305,219,286,3
"155",2024-03-09,166,100,305,219,287,3
"156",2024-03-10,166,100,305,220,287,3
"157",2024-03-11,166,100,305,221,288,3
"158",2024-03-12,166,100,305,221,288,3
"159",2024-03-13,166,100,305,222,289,3
"160",2024-03-14,166,100,305,223,289,3
"161",2024-03-15,166,100,305,223,289,3
"162",2024-03-16,167,100,305,223,289,3
"163",2024-03-17,167,100,305,223,289,3
"164",2024-03-18,168,100,305,223,289,3
"165",2024-03-19,168,100,305,224,290,3
"166",2024-03-20,168,100,305,224,290,3
"167",2024-03-21,168,100,305,224,290,3
"168",2024-03-22,168,100,305,224,290,3
"169",2024-03-23,168,100,305,224,290,3
"170",2024-03-24,168,100,305,224,290,3
"171",2024-03-25,168,100,305,225,291,3
"172",2024-03-26,168,100,305,225,292,3
"173",2024-03-27,168,100,305,226,292,3
"174",2024-03-28,168,100,305,226,293,3
"175",2024-03-29,168,100,305,227,294,3
"176",2024-03-30,169,100,305,227,295,3
"177",2024-03-31,169,100,305,228,295,3
"178",2024-04-01,170,100,305,228,296,3
"179",2024-04-02,170,100,305,229,296,3
"180",2024-04-03,171,100,305,229,297,3
"181",2024-04-04,171,100,305,229,297,3
"182",2024-04-05,171,100,305,229,297,3
"183",2024-04-06,171,100,305,229,297,3
"184",2024-04-07,171,100,305,229,297,3
"185",2024-04-08,171,100,305,229,297,3
"186",2024-04-09,171,100,305,230,298,3
"187",2024-04-10,171,100,305,231,299,3
"188",2024-04-11,171,100,305,231,299,3
"189",2024-04-12,171,100,305,232,300,3
"190",2024-04-13,171,100,305,233,301,3
"191",2024-04-14,172,101,306,234,303,3
"192",2024-04-15,174,101,307,235,306,3
"193",2024-04-16,175,102,307,235,308,3
"194",2024-04-17,177,102,308,236,311,3
"195",2024-04-18,178,103,309,237,313,3
"196",2024-04-19,179,103,309,237,314,3
"197",2024-04-20,179,103,309,238,315,3
"198",2024-04-21,180,103,309,238,315,3
"199",2024-04-22,180,103,309,239,316,3
"200",2024-04-23,181,103,309,239,317,3
"201",2024-04-24,181,103,309,240,318,3
"202",2024-04-25,181,103,310,241,319,3
"203",2024-04-26,181,103,310,241,319,3
"204",2024-04-27,181,103,311,242,320,3
"205",2024-04-28,181,103,311,243,321,3
"206",2024-04-29,182,103,311,243,321,3
"207",2024-04-30,182,103,311,243,321,3
"208",2024-05-01,183,103,311,243,321,3
"209",2024-05-02,183,103,311,243,321,3
"210",2024-05-03,184,103,311,243,321,3
"211",2024-05-04,184,103,311,243,321,3
"212",2024-05-05,185,103,311,243,321,3
"213",2024-05-06,185,103,311,243,321,3
"214",2024-05-07,186,103,311,243,321,3
"215",2024-05-08,186,103,311,243,321,3
"216",2024-05-09,186,103,311,244,322,3
"217",2024-05-10,186,103,311,245,323,3
"218",2024-05-11,186,103,311,245,324,3
"219",2024-05-12,186,103,311,246,325,3
"220",2024-05-13,186,103,311,247,326,3
